feature_id,feature_name,probe_a_auc,probe_b_auc,probe_c_auc
29007,This detector,0.9155925394262016,0.985615168371314,0.9598161772035807
29004,Medical/Physiological,1.0,0.99994393277914,1.0
27861,Possessive pronouns,0.9969300693724583,0.9988039231321265,0.9969300693724583
17939,Healthcare/Medical treatments,0.9208413090681822,0.9638612080257211,0.9181913253608115
22326,negative descriptors associated with inappropriate behavior,0.8525828456515537,0.9432143824226961,0.8450568610874107
249,expressions related to financial fraud and ethical considerations in investment practices,0.8569332950629667,0.9324432871899218,0.8452119689767884
500,Feature 500,0.987351256071502,0.9980035410972993,0.9926552929644044
502,Feature 502,0.9020973909692253,0.9514772768801932,0.9029844547879852
503,Feature 503,0.9003089957637677,0.9509283716809258,0.8696419968435917
506,Feature 506,0.9690797877034216,0.9910605610202303,0.9630406071926656
507,Feature 507,0.9733544322953738,0.9836734210683046,0.9660774383653528
516,Feature 516,0.890230862197101,0.9680289845359302,0.888146889029224
517,Feature 517,0.8796369761971213,0.9203719947370519,0.877693273792911
523,Feature 523,0.9468190987861919,0.9422613504303549,0.927658402348392
525,Feature 525,0.7783223195686193,0.8658872310099772,0.7702488811809147
526,Feature 526,0.9996860454685896,1.0,0.9996860454685895
527,Feature 527,0.9777367156664729,0.993210777854543,0.9808700306168237
530,Feature 530,0.7467034774201908,0.8710693391007943,0.7399160794554136
531,Feature 531,0.9924606831772419,0.9973506138325627,0.9842905366333436
533,Feature 533,0.9215223362461892,0.9557262038847255,0.9198648989233776
537,Feature 537,0.5383423200741531,0.5897959793886358,0.5383423200741531
540,Feature 540,0.9989556600236319,0.9993091407351632,0.9989533597153138
541,Feature 541,0.9836832191585643,0.9948779507813658,0.9518820314370063
545,Feature 545,0.9598486140222465,0.9703672050881103,0.9423167162945958
552,Feature 552,0.7831989470241509,0.915567689194401,0.7827433000690426
560,Feature 560,0.9399646548097577,0.9692598899407374,0.9310984569707116
573,Feature 573,0.9748688870372922,0.9831458625695144,0.9744693705127417
585,Feature 585,0.9544498392255141,0.9733518415159428,0.9522611718057128
589,Feature 589,0.9997290272531519,0.9998676855483619,0.9997548557591224
598,Feature 598,0.7996527743165966,0.8852779632970824,0.7886531963037909
602,Feature 602,0.8700554532196824,0.9375114036089475,0.8668357354243577
604,Feature 604,0.8116934457256265,0.9603241247726234,0.8241013831245917
605,Feature 605,0.8610524992016106,0.9293999245905239,0.8480123377838302
608,Feature 608,0.8425093910087081,0.9129992723358021,0.8420508628839884
609,Feature 609,0.7054857325107392,0.46090518573151407,0.7226685138488832
612,Feature 612,0.8426920298207267,0.8656057105025051,0.7917824010177177
617,Feature 617,0.7296439347780214,0.7671682755605325,0.6970484589935878
625,Feature 625,0.9969147906921074,0.9985666457209161,0.9929404176516157
627,Feature 627,0.9402106803139059,0.9809459589052079,0.9359829766482524
636,Feature 636,0.6717868533838334,0.7481286753712748,0.6703266719824579
639,Feature 639,0.968142966615901,0.9917468119636732,0.9556350650365003
644,Feature 644,0.9532214637847294,0.9824339750174672,0.9281984855576368
648,Feature 648,0.9999700986743746,0.9996984949666102,0.9999700986743746
649,Feature 649,0.9994069747740025,1.0,0.9994069747740026
650,Feature 650,0.7764564256787759,0.7966859177688671,0.7601007191732998
655,Feature 655,0.9896679173453492,0.9962204636211186,0.9909660335008604
663,Feature 663,0.9226452901918617,0.9639684792184494,0.9212401654290919
665,Feature 665,0.9974354824617726,0.9952585597772707,0.9977063883958439
666,Feature 666,0.9528331748084388,0.9748359933061719,0.9347552517092395
668,Feature 668,0.8965876829276651,0.9365127442772436,0.8874248694612508
679,Feature 679,0.9790924664081584,0.9899343260938996,0.973103753469395
694,Feature 694,0.9541416388059419,0.9921148285804358,0.9389377842166006
698,Feature 698,0.9984651111797713,0.9960730766547398,0.9984651111797713
